chunk_id,origin_inconsistencies,dest_inconsistencies
1,3055169,2068483
2,3055169,2068483
3,3055169,2068483
4,3055169,2068483
5,4108,4388
6,4569,4286
7,4843,4260
8,4795,5248
9,4643,4598
10,4174,4499
11,4854,4321
12,4673,4634
13,4334,4571
14,4806,4885
15,5056,5310
16,4706,4823
17,5107,4799
18,4726,4633
19,4279,4429
20,4665,4980
21,4492,4661
22,4446,4558
23,4415,4150
24,4557,4435
25,4733,4566
26,5218,5474
27,5180,5470
28,4494,5571
29,4378,5120
30,4594,5241
31,4432,5282
32,4807,5005
33,4811,5385
34,4743,4904
35,4798,4932
36,4971,4779
37,4724,4564
38,4728,4280
39,4985,4368
40,4556,4516
41,4783,4554
42,5027,4593
43,4625,4143
44,4481,4127
45,4710,4141
46,4387,3616
47,4515,3742
48,4690,3457
49,4922,3541
50,5115,3471
51,4629,3205
52,4780,4207
53,4457,5019
54,4609,5366
55,4812,5194
56,5250,5165
57,4949,4934
58,4673,4524
59,4525,4525
60,4394,4373
61,4739,4208
62,4516,3334
63,4603,3329
64,4411,3367
65,4680,3469
66,4619,3293
67,4603,3342
68,4520,3370
69,4789,3474
70,4756,3171
71,4627,3323
72,4772,3292
73,5184,3710
74,4540,3136
75,5128,3259
76,4923,3208
77,4768,3487
78,4929,3529
79,4568,3602
80,4863,3899
81,4938,3990
82,5429,3917
83,4952,4017
84,4774,3569
85,4603,3405
86,4608,3577
87,4547,3472
88,4585,3588
89,4723,3407
90,4566,2854
91,4813,3399
92,4433,3233
93,4624,3373
94,4949,3564
95,4661,3547
96,4892,3581
97,4690,3248
98,4627,3264
99,4405,3148
100,4652,3471
101,4414,3071
102,4976,3464
103,4986,3162
104,4596,2739
105,5023,3544
106,4533,2856
107,4859,3125
108,4374,3237
109,4424,3165
110,4745,3464
111,4540,3414
112,4363,3140
113,5008,3371
114,4786,3197
115,4395,2901
116,4737,3186
117,4799,3394
118,4735,3258
119,4684,3462
120,4641,3318
121,5181,4024
122,4773,3285
123,5181,3846
124,5189,3506
125,4853,3853
126,5133,3672
127,5248,3480
128,5124,3235
129,4961,3079
130,4912,3316
131,4806,3116
132,4794,3180
133,4933,3274
134,4720,3348
135,5038,3213
136,4820,3188
137,4877,3178
138,5275,3892
139,5215,3224
140,4849,3227
141,4895,3536
142,4917,3284
143,4907,3294
144,4966,3509
145,4810,3595
146,5204,3798
147,5174,3795
148,4977,3706
149,4834,3135
150,4656,3232
151,4756,3468
152,4849,3547
153,4514,2807
154,4763,3443
155,4825,3101
156,4432,2806
157,4689,2928
158,4918,3518
159,4692,3139
160,4945,3344
161,4922,3256
162,4551,3009
163,4629,3152
164,4899,3506
165,4656,2902
166,4616,3249
167,5212,3672
168,4347,2628
169,4674,3019
170,4992,3418
171,4246,2991
172,5152,3285
173,4631,3226
174,4426,3190
175,4724,3578
176,5063,3364
177,5072,3387
178,4860,3112
179,4786,3255
180,5117,3475
181,5213,3286
182,5053,3460
183,5028,3666
184,4521,3090
185,4933,3405
186,4646,3276
187,4789,3455
188,4788,3238
189,4854,3569
190,4744,3239
191,4941,3383
192,4643,3032
193,5010,3351
194,4540,3108
195,4938,3081
196,4526,2964
197,5040,3201
198,4946,3283
199,4499,3070
200,4961,3050
201,5050,3350
202,5093,3060
203,4849,2852
204,4672,2926
205,4930,3336
206,4398,2877
207,4686,2870
208,4861,3233
209,5028,3413
210,4755,3077
211,4973,3472
212,4519,2902
213,4719,3069
214,5061,3508
215,4322,2648
216,4693,3223
217,4336,2828
218,4901,3003
219,4821,3268
220,5041,3194
221,4928,3064
222,4813,3226
223,4954,3288
224,4632,3403
225,4891,2952
226,4481,2956
227,5135,3539
228,4692,3163
229,5035,3393
230,4814,3315
231,5123,3517
232,4560,3027
233,4852,3164
234,4863,3431
235,4641,3182
236,4244,2675
237,4878,3328
238,4705,3032
239,4421,2906
240,4459,2956
241,4303,2677
242,4470,2879
243,4596,2900
244,4591,3032
245,4260,2867
246,4679,3304
247,4731,3026
248,4551,2980
249,4158,2902
250,4676,2953
251,4485,3042
252,4139,2519
253,3714,2421
254,4285,2728
255,4210,2576
256,4383,2686
257,4434,3044
258,4546,3025
259,5023,3448
260,4631,3154
261,4190,2773
262,4221,2665
263,3874,2510
264,4608,3370
265,4505,2966
266,5029,3526
267,4580,2796
268,4306,2862
269,4673,2801
270,4712,2799
271,4852,2808
272,5380,3462
273,5243,3441
274,4822,3246
275,4550,3085
276,4930,3103
277,5041,3254
278,4820,3322
279,5023,3197
280,4520,2851
281,4825,3104
282,4808,3242
283,4790,2790
284,4744,2734
285,5388,3406
286,4458,2359
287,5138,3143
288,4871,3284
289,4664,2784
290,4953,3116
291,5297,3621
292,4908,3413
293,4549,2870
294,4860,3225
295,4776,3289
296,4417,2945
297,4748,3090
298,4572,3093
299,4620,3181
300,4638,3039
301,4502,2899
302,4967,2853
303,4522,3036
304,5012,3413
305,4971,2910
306,5018,2858
307,5156,3270
308,4785,3029
309,4377,2481
310,4909,3028
311,4662,2698
312,4926,3068
313,5044,3135
314,4897,3131
315,5176,3753
316,4586,2816
317,4751,3137
318,5242,3435
319,4797,3371
